Category,Activity_name,Price,Age_range,Activity_description,Available_dates 
İncəsənət və Sənətkarlıq,Ata-bala Dülgərlik Masterklassı (Stolüstü lampa),45,2+,"Ata-bala Dülgərlik Master-klassı
""STOL ÜSTÜ LAMPA"" adlı dülgərlik master-klassa dəvət edirik. 
Proqrama daxildir:

Birlikdə maraqlı stol üstü lampası düzəldirik;
Hazırladığınız lampanı rəngləyirsiniz;
Çay və şirniyyat;
Sərbəst fotoçəkiliş;
Masterklass üçün bütün material və alətlər təmin olunur;
Əl işinizi özünüzlə aparırsınız.

Bilet: Ata və bala (45 AZN)
Saat: 11:00
Ünvan: Ağasadıq Gəraybəyli 5A, Baku, Azerbaijan.Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
---------
Cтолярный мастер-класс ""НАСТОЛЬНАЯ ЛАМПА"".
Программа:

Вместе делаем настольную лампу;
Вы красите свою подготовленную лампу;
Чай и сладости;
Свободная фотосъемка;
Предоставляются все материалы и инструменты для мастер-класса.
Вы забираете с собой вашу работу.

Время: 11:00
Цена: Отец и ребёнок (45 AZN)
Адрес: Агасадиг Герайбейли 5А, Баку, Азербайджан.
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir","['Baz - Baz, 11:00-12:00 (30 Apr. - 31 Dek.)']"
Digər,VR Oyun / Arizona Sunshine,10,6+,"VR üçün xüsusi olaraq dizayn edilmiş Arizona Sunshine, sizi və 3 dostunuzu qiyamətin ortasına atacaq. Tək və ya qrup şəklində zombilərlə mübarizə aparıb həyatta qalmağa çalışın. Oyunboyu zombilərə qarşı oynayıb həyatda qalmağa çalışmaq lazımdır.
İştirakçı sayı: Tək və ya qrup (maksimim 4 iştirakçı)Oyun tipi: birlikdə süni intelləktə qarşıMüddət: 10, 30 və ya 60  dəqiqəYaş: + 18Tarix: Bazar ertəsi xaric hər günÜnvan: Nizami küçəsi (Tarqovy, dəqiq konum göndəriləcək)Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Qiymət: 

Həftə içi 15 dəqiqə - 10azn ; Həftəsonu 15 dəqiqə 15azn
Həftə içi 30 dəqiqə - 20azn ; Həftəsonu 30 dəqiqə 25azn
Həftə içi 60 dəqiqə - 30azn ; Həftəsonu 30 dəqiqə 40azn

Ölümsüzləri hüzura qovuşdurmaq həyacanını yaşa!
Biletlər yalnız tripsome.az-da onlayn satılır. Əldə etməyə tələsin.","['Çərş.A. - Cüm., 15:00-21:00 (28 Apr. - 29 Dek.)', 'Şən. - Baz, 12:00-22:00 (29 Apr. - 31 Dek.)', 'Çərş.A. - Cüm., 15:00-21:00 (28 Apr. - 29 Dek.)', 'Şən. - Baz, 12:00-22:00 (29 Apr. - 31 Dek.)', 'Çərş.A. - Cüm., 15:00-21:00 (28 Apr. - 29 Dek.)', 'Şən. - Baz, 12:00-22:00 (29 Apr. - 31 Dek.)']"
Turlar və Səyahət,Paragliding / Həftə içi seansı,100,10+,"Bu unudulmaz macəranı səndə yaşa.
Uçuşlar Bakıdan 75 km-lik məsafədə yerləşən  Beşbarmaq dağından keçirlilir. Uçuşlar beynəlxalq sertifikata sahib və xüsusi təlimlər keçmiş peşakar təlimçilər tərəfindən keçirilir.   
Qiymətə daxildir:

8-10 dəqiqəlik uçuş
Limitsiz peşakar foto və video
Offroad maşınlar ilə dağa qalxma və eniş nöqtəsindən toplanış nöqtəsinə transfer
Təlim
Mövsümə uyğun kamp

Qiymət: 100AZN / 1 nəfər. 100AZN yalnız həftəiçi seansları üçün keçərlidir, həftə sonu üçün qiymət 1 nəfər üçün 120AZN təşkil edir və baş tutması üçün minumum 6 iştirakçı tələb olunur.
Çəki limitləri: Minumum 40, maksimum 100 kq. 
Geyim: İsti, rahat geyim və qaçış üçün uyğun ayaqqabı və ya bot
Dil: Azərbaycan, Rus, İngilis
Vacib qeyd: Uçuşun vaxtı və saatı hava şəraitindən asılı olaraq müəyyənləşdirilir və dəyişdirilə bilər.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Baz.E. - Çərş.A., 10:00-17:00 (28 Apr. - 09 May)']"
Turlar və Səyahət,Paragliding / Cütlük Bileti,100,10+,"Bu unudulmaz macəranı səndə yaşa.
Uçuşlar Bakıdan 75 km-lik məsafədə yerləşən  Beşbarmaq dağından keçirlilir. Uçuşlar beynəlxalq sertifikata sahib və xüsusi təlimlər keçmiş peşakar təlimçilər tərəfindən keçirilir.   
Qiymətə daxildir:

8-10 dəqiqəlik uçuş
Limitsiz peşakar foto və video
Offroad maşınlar ilə dağa qalxma və eniş nöqtəsindən toplanış nöqtəsinə transfer
Təlim
Mövsümə uyğun kamp

Qiymət: 100AZN / 1 nəfər
Çəki limitləri: Minumum 40, maksimum 100 kq. 
Geyim: İsti, rahat geyim və qaçış üçün uyğun ayaqqabı və ya bot
Dil: Azərbaycan, Rus, İngilis
Vacib qeyd: Uçuşun vaxtı və saatı hava şəraitindən asılı olaraq müəyyənləşdirilir və dəyişdirilə bilər.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir. ","['Baz.E. - Baz, 10:00-17:00 (28 Apr. - 09 May)']"
İdman və Döyüş Sənəti,Qılıncoynatma (Fencing) - Cütlük Paketi,20,10+,"Biletə daxildir:
İdman Ustası və Azərbaycan çempionu tərəfindən təlim (reaksiya və duruş məşqləri, döyüş texnikaları)Qoruyucu ləvazimatlar (Maska, əlcək, qoruyucu jilet, 1 ədəd qol qoruyucu, plasmas bədən qoruyucu)Döyüş ləvazimatları (Rapira qılınc, elektrikli gödəkçə (sayğac))Geyim dəyişmə zonasıProqram müddəti: təqribi 3 saat (proqram ərzində hər biri 3 dəqiqə davam edən 4-5 aktiv döyüş)Proqramın son mərhələsində masaüstü oyun (boardgame) + çay
Qiymət:

Cütlük bileti / 2 nəfər / Gündəlik:  20AZN (2 nəfər / cütlük və ya para üçün 40AZN)
Cütlük bileti / 2 nəfər /Aylıq (8 dərs):  70AZN (2 nəfər / cütlük və ya para üçün 140AZN)

Vaxt: Hər şənbə və bazar 10:00-17:00
Vacib qeydlər:
Geyim: İştirakçının yüngül geyimdə idman forması və idman ayaqqabısı ilə gəlməyi vacibdir.Dil: Azərbaycan, Rus və İngilis dilərində (istəyə uyğun olaraq).Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.Ünvan:  Xətai metro stansiyası Paulaner restoranın yaxınlığı. (Dəqiq məkan göndəriləcək).
Qılıncoynatma məşqçisi haqqında
Məşqçimiz 14 ildir qılıncoynatma (fencing) idman növü ilə məşğuldur və qılıcoynatmanın hər 3 növü (rapira, qılınc və şpaqa) üzrə peşəkar idman ustasıdır. Azərbaycan çempionu titulu ilə yanaşı dəfələrlə ölkəmizi və hazırda isə Konqo Demokratik Respublikasını müxtəlif beynəlxalq müsabiqələrdə uğurla təmsil edir.
Qılıncoynatma daha çevik olmaq, xarakter, nizam-intizam və dözümlülük yaratmaq istəyənlər üçün ideal idman növüdür.
🤺 Fəlsəfəsi, romantizmi və zəngin tarixi ilə seçilir.
🤺 Bu idman növündə əsas nüans tək bacarıq deyil, müdriklik, ləyaqət, nəciblik və rəqibinizə ən dərin hörmətdir.
🤺Qılıncoynatma təfəkkür və məntiqi inkişaf etdirir, qılınc döyüşündə baş bədəndən az işləmir.
🤺Reaksiya sürəti, mükəmməl texnika və döyüşdə tez naviqasiya bacarığı inkişaf edən vacib bacarıqlardandır.","['Şən. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)']"
İncəsənət və Sənətkarlıq,Quşlara Ev Qur,22,3+,"Təsvir
Bu master-klassda biz quşlar üçün yuva bəzəyərək onlar üçün ən qonaqpərvər ev sahibi olacağıq. Uşaqlarınızı bu yaradıcı fəaliyyətə qoşulmağa təşviq edin, çünki quş yuvası dekorasiyası prosesi uşaqların təsəvvürünü genişləndirir və onlara bənzəri olmayan bir xoşbəxtlik hissi bəxş edir. Bu yaradıcı fəaliyyətdə iştirak edərək uşağınız həm də heyvanların qayğısına qalmağın vacibliyini də başa düşür və birbaşa bu işdə öz balaca əməklərini sərf edərək dəstək olmuş olacaqdır.
Proqram
Bu master-klassda iştirakçılar müxtəlif rəngli boyalardan istifadə edərək yuvanı rəngləməyi öyrənirlər. Uşaqlar rənglədikləri yuvaları özləri ilə apara və istədikləri yerdən asa bilərlər. Fəaliyyət ərzində peşəkar sənətkar tərəfindən uşaqlara yuva bəzəmək üçün müxtəlif yaradıcı ideyalar və istiqamət verilir. 
Vacib qeydlər: Proqram iştirakçıları üçün lazım olan ləvazimatlar (yuva, boyalar, fırçalar) təşkilatçılar tərəfindən təmin olunur. Uşaqlar son məhsulu özləri ilə apara bilərlər.
Sessiyanın dili: Sessiya Azərbaycan dilində aparılacaqdır.
Ünvan: Nizami küçəsi, 50
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir. 
İndi qeydiyyatdan keçin!","['Baz.E. - Baz, 10:00-17:00 (29 Apr. - 30 Dek.)']"
İncəsənət və Sənətkarlıq,Gənc Heykəltaraş Masterklassı,20,3+,"Proqramın təsviri və faydaları
Qalereyamız heykəltəraşlığın incəliklərini praktiki şəkildə öyrədən heykəltəraşlıq masterklassını təklif edir. İncəsənətin bu növü yaradıcı düşüncəni və təsəvvürü genişləndirməklə yanaşı, həm də özünəinam aşılayan bir fəaliyyətdir.
İştirakçılar lazımlı alətləri və texnikaları öyrənərək əyləncəli və maraqlı gil heykəltəraşlıq prosesini praktiki olaraq tətbiq edəcək, beləliklə gil ilə öz heykəltəraşlıq əsərlərini hazırlaya biləcəklər. Məftil, kağız, parça və gil kimi müxtəlif materiallarla təcrübə edərək tələbələr bu üsulları tətbiq edəcək və öz kiçik aləmlərini yaradacaqlar. Uşaqlar ailələrinə və dostlarına öz işlərini göstərə biləcəkləri heykəltəraşlıq əsərləri yaradacaqlar.
Vacib qeydlər
Lazım olan ləvazimatlar: Bütün ləvazimatlar təşkilatçı tərəfindən təmin ediləcəkdir. Ləvazimatlar bunlardır: Gil, məftil, kağız, parça, plastilin və heykəltəraşlıq bıçağı. İştirakçılar sessiya zamanı işlədikləri əsəri sessiyadan sonra özləri ilə apara bilərlər və onlara aiddir.
Sessiyanın dili: Sessiya Azərbaycan dilində aparılacaqdır.
Ünvan: Nizami küçəsi 50.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İndi qeydiyyatdan keçin!","['Baz.E. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,Poni Sürmək (Şəhər mərkəzində),15,1 - 7 yaş üçün+,"Proqrama daxildir:

Məlumatlı və qonaqpərvər bələdçi
Seçilmiş biletə uyğun poni sürmək
Sərbəst şəkil çəkilişi - Dostları və ya ailə üzvləri iştirakçının yanında onları sərbəst müşayiət edə və yol boyu şəkillər çəkə bilərlər (ödənişsiz).
Gəzintinin vaxtı sizin uyğunluğunuza görə müəyyən edilir və gələcəyiniz vaxtı özünüz seçirsiniz.
Təhlükəsizlik brifinqi
Poniləri oxşamaq və bəsləmək imkanı (özünüzlə bir neçə yerkökü gətirməyiniz kifayətdir)

Proqramın faydaları
Poni sürmək uşaqlarınızın həmişə özlərilə qürur duyacaqları fəaliyyətdir. Ata minmək uşaqlar üçün unudulmaz bir təcrübədir və mehtərlərimiz onlara təhlükəsiz və rahat bir şəraitdə kiçik çapar olmağa kömək edəcəklər. 7 yaşa qədər uşaqlar mehtərlərimizin müşayiətində poni sürəcəklər. 7 yaşdan yuxarı uşaqlar və hətta böyüklər, uşaqları ilə birlikdə ata minmək istəsələr, uyğun bileti alaraq bu təcrübəni birlikdə yaşayırlar. Uşaqlar poni ilə çöldə gəzintini bitirdikdən sonra atlarına yem verməyə icazə verilir.
Vacib qeydlər

1 yaş və yuxarı yaş üçün idealdır
Uzun şalvar və örtülü ayaqqabılar (xüsusən də uşağınızla yanaşı gəzirsinizsə)
15 dəqiqəlik təhlükəsizlik brifinqi tamamlamalıdır
Giriş üçün vaxtdan 30 dəqiqə əvvəl gəlin
Gələrkən ailələr özləri ilə yemək gətirə bilərlər.

Dil: Sessiya Azərbaycan və Rus dilində aparıla bilər.
Ünvan: Kooperasiya Univesiteti və Ayna Sultanova heykəli yaxınlığında
Ləğv qaydası: Qeydiyyatınızı sessiyanın başlamasına 96 saat əvvələ qədər ləğv etmək imkanınız var. 
Kiçik uşaqların təhlükəsiz və idarə olunan şəraitdə ata minmə fürsəti ən əyləncəli təcrübələrdəndir və əmin olun həm özünüz, həm uşaqlarınız üçün bu təcrübən unudulmaz olacaqdır.
İndi qeydiyyatdan keçin!","['Baz.E. - Baz, 09:00-20:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 09:00-20:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 09:00-20:00 (28 Apr. - 31 Dek.)']"
İncəsənət və Sənətkarlıq,Eko Çanta Masterklassı,30,3+,"Qiymətə daxildir:

Kətan parçadan hazırlanmış əl işi çanta.
Çanta üzərində arzu olunan rəsmlərin iştirakçı tərəfindən çəkilməsi üçün peşəkar master-klass (1 əsər; hazırlanan əsəri iştirakçı özü ilə aparır).
Lazımi ləvazimatlar və material (önlük, fırça və qalıcı parça boyaları təmin olunur).
Çay süfrəsi və dadlı şirniyyatlar
Foto sessiya imkanı (öz kameranızla)
Müddət: Təqribi 2 saat

Qiymət: 30AZN
Dil: Sessiya Azərbaycan və Rus dillərində aparıla bilər.
Ünvan: Mərdanov Qardaşları 20 (Tarqovı)
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.. 
Eko Məhsullar Haqqında
Plastiklərin, dəri çantaların dövrü artıq sona çatır. Təbiət dostu olmağın əsl zamanıdır. Ancaq bu demək deyil ki, estetikamızdan da əl çəkməliyik. Öz zövqünüzə uyğun dəbli, həm də təbiət dostu çantaya sahib olun. Unutmayaq ki, təbiətə sevginin özünə sevgiyə gələn döngüsü var. Sonda düzəldilən çanta bu özəl gündən bir xatirə olaraq sizinlə həmişəlik qalacaq.","['Çərş. - Şən., 11:00-18:00 (28 Apr. - 29 Iyl.)']"
İncəsənət və Sənətkarlıq,Vitraj Sənəti - Şüşə Üzərində Rəssamlıq,40,3+,"Proqram
Bu master-klassda iştirakçılar şüşə üzərinə rəsm çəkməyin müxtəlif texnikalarını öyrənəcəklər. Rahat mühitdə rəsm çəkərək əyləncəli vaxt keçirə və öz əlləriniz ilə zövqünüzə uyğun sənət əsərləri hazırlaya biləcəksiniz. Masterklass iki saat davam edir.
Proqrama nə daxildir?

Peşəkar rəssam tərəfindən təlim
Düzgün istifadə qaydaları
Əsərin rəngli angoblar (xüsusi boyalar keramika üçün) ilə dizayn edilməsi 
Bütün lazımi ləvazimatlar
Çay süfrəsi

Vacib qeydlər: Hazırlanan əsər onların daim özlərilə qürur duyacağı məhsul kimi iştirakçıların özündə qalacaq. 
Sessiyanın dili: Sessiya paralel olaraq Azərbaycan və Rus dillərində aparılacaq .
Ünvan: Mərdanov Qardaşları küç 20 (keçmiş Qoqol küç).
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İndi qeydiyyatdan keçin!","['Çərş.A. - Şən., 14:00-16:00 (29 Apr. - 29 Iyl.)']"
"Tamaşa, Teatr, Şoular","Cinema Fulldome - ""Rosetta """,3,3+,"Rosetta, Fulldome Film Cəmiyyəti tərəfindən planetariumlar və rəqəmsal günbəzli teatrlar üçün hazırlanmış astronomiyadan bəhs edən 25 dəqiqəlik şoudur.
Məkan
Filmlərin nümayiş olunduğu kinoteatr astronomiya və əlaqəli sahələrdə maarifləndirici və əyləncəli şoular vasitəsi ilə ulduzların, planetlərin və digər göy cisimlərinin təsvirlərini izləyə biləcəyiniz ən son nəsil texnologiya ilə təchiz olunmuş yarımkürə qübbəli teatrdır.
Müddət: 30 dəqiqə
Filmin dili: Rus
Tarix: Hər çərşənbə axşamı və cümə günləri saat 19:00
Ünvan: Neftçilər Prospekti.
Ləğv qaydası: Qeydiyyatınızı sessiyanın başlamasına 96 saat əvvələ qədər ləğv etmək imkanınız var. 
İndi qeydiyyatdan keçin!","['Çərş.A. - Cüm., 19:00-19:30 (28 Apr. - 28 Iyl.)']"
İdman və Döyüş Sənəti,Airsoft - Hərbi Taktiki Oyun /Qapalı Məkan,35,16+,"Airsoft yumşaq pnevmatika ilə çalışan real silahların tam ölçülü sürətləri ilə və komanda şəklində oynanan hərbi taktiki oyundur. Paintball'dan fərqli olaraq, airsoft oyununda sərt plastikdən hazırlanmış 6mm yuvarlaq şarlardan istifadə edilir. İstifadə olunan silahlar real silahların tam ölçülü sürətləridir.
Standart Bilet: 35AZN / 1 nəfərStandart Plus Bilet: 45AZN / 1 nəfər
Biletə daxildir
Avtomat (Airsoft tüfəng);Muncuq 700 ədəd (Plastik şarik 6mm);Qoruyucu jilet;Üz üçün qoruyucu maska (Dəmir setka);Qoruyucu eynək (Plastik-şəffaf eynək, plastik-qara eynək);Hərbi geyim (yalnız Standard Plus paketdə);Oyundan əvvəl peşəkar təlimçi tərəfindən təhlükəsizlik üzrə təlimat;Oyunlar arasında fasilələr zamanı su, çay və şirniyyat.Ünvan: Ulduz m/s yaxınlığı
Qeydlər: 
Yaş həddi: 18+Oyunun maksimum müddəti: 3 saatİştirakçı sayı: Minimum 6, maksimum 10 nəfər (Tək və ya 6 nəfərdən az qrupla klubun daimi üzvlərinin iştirak etdiyi klub oyunlarına qoşula bilərsiniz. Klub oyunları həftənin bazar günü saat 11:30-da Ulduz m/s yaxınlığında keçirilir.Bu fəaliyyətdə 6 mm-lik plastik şarlardan istifadə olunduğuna görə təhlükəsizdir. 
Bu fəaliyyətdə əlavə olaraq əsas silahla təhlükəsiz davranış bacarıqları əldə edəcək və praktiki atış qaydaları ilə tanış olacaqsınız. Fəaliyyət böyüklər üçün nəzərdə tutulmuş müasir, dinamik və innovativ idman növüdür. Eyni zamanda heç vaxt silah tutmayan və Praktiki Atıcılıq idmanı ilə tanış olmaq istəyənlər və yeni başlayanlar üçün də uyğundur.
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İştirak üçün biletlər əvvəldən onlayn şəkildə alınmalıdır.","['Baz.E. - Baz, 10:00-17:00 (28 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)', 'Baz.E. - Şən., 10:00-17:00 (28 Apr. - 30 Dek.)']"
Digər,Per Aspera Ad Astra (Balaxanı Kvesti),9,10+,"Balaxanı Azərbaycanın ən hündürdə yerləşən qəsəbələrindən biridir. Adının mənası da ""bala"" - yuxarı, hündür, ""xana"" - ev deməkdir. Xalqımızın qədim yaşayış məntəqələrindən olan Balaxanının adı bir müddət ""zibillik"" sözü ilə yanaşı işlədilmişdir. Bunun səbəbi, məişət tullantılarının toplandığı məkanın - Balaxanı Bərk Məişət Tullantıllarının Çeşidlənməsi Zavodunun el arasında “Balaxanı zibilliyi” kimi tanınmasıdır. Lakin son illərdə bu qəsəbədə əsaslı təmir işlərinin aparılması nəticəsində, Balaxanı artıq məşhur turistik məkanlardan biri olmaq yolundadır.
Kiçik qəsəbə olmasına baxmayaraq, burada qonaqların dincəlmələri və keçirdikləri zamandan zövq almaları məqsədilə hər bir şərait yaradılıb.
Balaxanı səfərinizi daha maraqlı və yaddaqalan etmək istəyirsinizsə, bu kvest sizin üçündür!
Xüsusi Təklif!
Oyunu uğurla tamamlayan hər kəs Balaxanıda yerləşən 300 yaşlı ""Art Cafe"" muzey-restoranından 15% endirim əldə edəcək! Bunun üçün sadəcə oyunu bitirdiyinizə dair ekran görüntüsünü kafeyə təqdim etməniz kifayətdir.
Qiymət:

Standart bilet: 9azn
Qrup bileti: 30azn (maksimum 6 nəfər)

Qeyd: 6 nəfərdən çox olsanız, əlavə bilet almaq lazımdır.
Qiymətə nə daxildir?

Kvest Oyunu
Xüsusi proqram təminatı
Oyun müddətində dəstək (İstənilən çətinlik yarandıqda bələdçimiz ilə əlaqə saxlayırsınız və sizə dəstək göstərilir.)

Müddət: Oyun təqribi 2 saat davam edir. Kvest 24 saat ərzində aktiv olaraq qalır - fasilə ilə oynaya bilərsiniz.Yaş: 10+ Dil: Azərbaycan, Rus və İngilis (iştirakçının seçiminə uyğun).Başlanğıc nöqtəsi: Balaxanı qəsəbəsi, ""Qovurma"" restoranının yaxınlığı
Sizə Balaxanının inanılmaz dəyişimi ilə üzə çıxmış potensialını kəşf edərkən uğurlar arzu edirik!
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Baz.E. - Baz, 10:00-22:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-22:00 (28 Apr. - 31 Dek.)']"
Digər,"""3 Əsrlik Səyahət"" Kvest Oyunu",9,10+,"3 Əsrlik Səyahət28 May metrosundan Heydər Əliyev Mərkəzinə doğru macəraya hazır olun!
Bu kvest oyunu sizə Bakı şəhərini kəşf etməyə imkan verərkən, həm də biliyinizi sınayacaq. Bu maraqlı oyun sayəsində, şəhərin məşhur məkanlarını və mədəniyyətini daha yaxından tanıya biləcəksiniz. Səyahətiniz zamanı xüsusi tələbləri yerinə yetirməlisiniz. Bu tələblər sizə son nöqtəyə çatmaqda kömək edəcək və həm də daha maraqlı və əyləncəli bir səyahət təqdim edəcəkdir. Yol boyu siz çoxlu abidələrlə qarşılaşacaq, Bakının zəngin mədəni irsini kəşf edəcək, həmçinin yerli bazarları gəzərək yerli ləzzətlərdən dadacaqsınız. Yolunuzun üzərindəki məkanlar növbəti mərhələyə keçmək üçün ipuclarınız olacaq. Oyunu tamamladıqda isə siz Bakının təklif etdiyi unikal təcrübələr haqqında daha çox məlumat əldə etmiş və unudulmaz macəra yaşamış olacaqsınız.
Qiymət:

Standart bilet: 9azn
Qrup bileti: 30azn (maksimum 6 nəfər)

Qeyd: 6 nəfərdən çox olsanız, əlavə bilet almaq lazımdır.
Qiymətə nə daxildir?

Kvest Oyunu
Xüsusi proqram təminatı
Oyun müddətində dəstək (İstənilən çətinlik yarandıqda bələdçimiz ilə əlaqə saxlayırsınız və sizə dəstək göstərilir.)
Sərbəst foto və video çəkiliş
Müddət: Oyun təqribi 2 saat davam edir. Kvest 24 saat ərzində aktiv olaraq qalır,fasilə ilə oynaya bilərsiniz.
Yaş: 10+ 
Dil: Azərbaycan, Rus və İngilis (iştirakçının seçiminə uyğun).
Başlanğıc nöqtəsi: 28 may metro stansiyası

Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Baz.E. - Baz, 10:00-22:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-22:00 (28 Apr. - 31 Dek.)']"
Turlar və Səyahət,Dağ Mənzələri Mini Villa/Qəbələ,95,0+,"Dağ Mənzələri Mini Villa Günlük Kirayə

2 yataq otağı
Qonaq otağı
Mətbəx
Veranda (cam balkon)
Əlavə olaraq həyətdə əyləşmək üçün yer + samovar, manqal
İstilik sistemi - kombi (isti döşəmə)/soyutma sistemi - kondisioner
Wifi
Hamam ləvazimatları
Samovar, manqal
Mətbəx ləvazımatları ilə təchiz edilib.
Hamam ləvazımatları qiymətə daxildir.
4 yataq, 1 açılan çarpayı və 1 divan ilə maksimum 6 nəfər üçün nəzərdə tutulub.
4 sot həyəti var.

Qeyd: Ev hər qonaqdan sonra lazımınca təmizlənir və qonaq təmiz döşəkağı kimi yataq ləvazımatları ilə təmin edilir.Evin çox yaxınlığında market və restoranlar var.
Qiymət: 

Həftəiçi - 95 AZN
Həftəsonu - 120 AZN
Qiymət 2 nəfər üçün nəzərdə tutulub. Əlavə hər bir qonaq üçün qiymətə 10 AZN əlavə edilir.

Ünvan: Mirzə Ələkbər Sabir küçəsi (Qəbələ rayonunun mərkəzi bölgəsidir, həm əyləncə mərkəzlərinə yaxın, həm də təbii mənzərəsinə görə əlverişli ərazidir, dağ mənzərəlidir).Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Baz.E. - Baz, 14:00-12:00 (30 Apr. - 20 Dek.)', 'Cüm. - Şən., 14:00-12:00 (28 Apr. - 16 Dek.)']"
